,objectid,listed_tax,map_taxon,scientific,vernacular,threatened,migratory,marine,cetacean,presence_r,presence_c,extract_da,taxon_grou,taxon_fami,taxon_orde,taxon_clas,taxon_phyl,taxon_king,other_ids,cell_size,regions,attributio,sprat_prof,shape_leng,shape_area,species
1899,1899,84996,84996,Caladenia graniticola,"Pingaring Spider-orchid, Granite Spider-orchid",Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,68663,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84996,16.73999868,0.153199978,Caladenia graniticola
1896,1896,65292,65292,Caladenia granitora,NA,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65292,0.379999964,0.003399999,Caladenia granitora
2189,2189,65292,65292,Caladenia granitora,NA,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,NA,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65292,3.079999698,0.037699994,Caladenia granitora
874,874,56786,56786,Caladenia harringtoniae,"Harrington's Spider-orchid, Pink Spider-orchid",Vulnerable,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"2,438,667,271,673,670,000,000,000",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56786,9.4199992,0.78309988,Caladenia harringtoniae
875,875,56786,56786,Caladenia harringtoniae,"Harrington's Spider-orchid, Pink Spider-orchid",Vulnerable,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"2,438,667,271,673,670,000,000,000",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56786,17.85999846,0.536999917,Caladenia harringtoniae
996,996,16118,16118,Caladenia hastata,Melblom's Spider-orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"2,262,576,197",0.1,VIC,"Species of National Environmental Significance 10km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16118,2.599999757,0.109999981,Caladenia hastata
764,764,56719,56719,Caladenia hoffmanii,Hoffman's Spider-orchid,Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"24,387,672,726,736,800,000",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56719,17.05999888,0.903499887,Caladenia hoffmanii
765,765,56719,56719,Caladenia hoffmanii,Hoffman's Spider-orchid,Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,"24,387,672,726,736,800,000",0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56719,68.61999569,3.835199549,Caladenia hoffmanii
3576,3576,88195,88195,Caladenia hopperiana,"Quindanning Spider Orchid, Boddington Spider Orchid",Endangered,NA,NA,NA,2,Species or species habitat likely to occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,85299,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88195,0.679999948,0.006999999,Caladenia hopperiana
3843,3843,88195,88195,Caladenia hopperiana,"Quindanning Spider Orchid, Boddington Spider Orchid",Endangered,NA,NA,NA,1,Species or species habitat may occur,22/01/2024,flora,Orchidaceae,Orchidales,Liliopsida,Magnoliophyta,Plantae,85299,0.01,WA,"Species of National Environmental Significance 1km Grids January 2024 : Department of Climate Change, Energy, the Environment and Water, Canberra. Copyright: Commonwealth of Australia.",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88195,0.879999917,0.007399999,Caladenia hopperiana
